id,hebrew,transliterated
153,קטמון תקועה בלב ירושלים המערבית ושימשה כמרכז כוח ערבי רב ומאורגן,qvmwn tqwyh blb irwelim hmyrbit weimeh kmrkz kwx yrbi rb wmawrgn
154,החיוני של קטמון לשליטה באזור מסוים או לניצחון בקרב היה מנזר סן סימון,hxiwni el qvmwn lelivh bazwr mswim aw lnicxwn bqrb hih mnzr sn simwn
155,ולכן היה עלינו להשתלט עליו,wlkn hih ylinw lhetlv yliw
156,כתוב,ktwb
157,בחוכמה עשה לך מלחמה,bxwkmh yeh lk mlxmh
158,אכן,akn
159,כך עשתה חטיבת,kk yeth xvibt
160,הראל,hral
161,היא כבשה תחילה את המנזר ואת התנגדות האויב,hia kbeh txilh at hmnzr wat htngdwt hawib
162,לאחר מכן,laxr mkn
163,בקרב מגננה שהתנהל בתוך המנזר,bqrb mgnnh ehtnhl btwk hmnzr
164,קרב מגננה מיועד לשבירת,qrb mgnnh miwyd lebirt
165,חזקים ממך,xzqim mmk
166,האויב אמנם נשבר,hawib amnm nebr
167,קרב המגננה הפך לניצחון מוחץ,qrb hmgnnh hpk lnicxwn mwxc
168,נפלה וירושלים המערבית אוחדה,nplh wirwelim hmyrbit awxdh
169,המאמר,hmamr
170,המצטט ממחקרו של אורי מילשטיין,hmcvv mmxqrw el awri mileviin
171,מלכתחילה לא היה צריך לכבוש את המנזר,mlktxilh la hih crik lkbwe at hmnzr
172,מצביע על חוסר,mcbiy yl xwsr
173,אסטרטגית וטקטית בסוגיה זו,asvrvgit wvqvit bswgih zw
174,מורשת הקרב,mwret hqrb
175,אימץ כתוצאה מהקרב על,aimc ktwcah mhqrb yl
176,סן סימון איננה מיתוס,sn simwn ainnh mitws
177,היא מבוססת על אותו קרב המגננה שבו אירעו מעשי,hia mbwsst yl awtw qrb hmgnnh ebw airyw myei
178,עילאיים,yilaiim
179,ועל קבלת החלטות קשות בתנאי קרב,wyl qblt hxlvwt qewt btnai qrb
180,חוסר ניסיון ועלילה,xwsr nisiwn wylilh
181,באים לביטוי בקטע המאמר הדן בנושא,baim lbivwi bqvy hmamr hdn bnwea
182,רצח הנזירות,rcx hnzirwt
183,כל ישראלי המנוסה,kl ierali hmnwsh
184,לילה בשטח בנוי,lilh bevx bnwi
185,כמנזר סן סימון,kmnzr sn simwn
186,יודע,iwdy
187,כי תוך כדי פריצה בחשכה,ki twk kdi prich bxekh
188,כל יורים בכל דבר שנע ממולך,kl iwrim bkl dbr eny mmwlk
189,ואכן,wakn
190,כך קרה בפריצה למנזר החשוך לחלוטין,kk qrh bprich lmnzr hxewk lxlwvin
191,לא נהרגו,la nhrgw
192,נזירות,nzirwt
193,אלא נשים ערביות,ala neim yrbiwt
194,כנראה משרתות במנזר,knrah mertwt bmnzr
195,חבל,xbl
196,איש לא התכוון לכך,aie la htkwwn lkk
197,ציטוט מהמאמר,civwv mhmamr
198,בעת שנורתה,byt enwrth
199,הנזירה,hnzirh
200,בטיפול בפצועים,bvipwl bpcwyim
201,איזה פצועים,aizh pcwyim
202,הרי כותב המאמר קובע,hri kwtb hmamr qwby
203,פסקה קודם לכן,psqh qwdm lkn
204,כי המנזר היה ריק ממגינים,ki hmnzr hih riq mmginim
205,אני הייתי שם,ani hiiti em
206,וכל תיאור הגווייה,wkl tiawr hgwwiih
207,היה מראה איום של דם ובשר ואיברי מין,hih mrah aiwm el dm wber waibri min
208,הוא שקר וכזב,hwa eqr wkzb
209,לא היה כאן,la hih kan
210,נזירות,nzirwt
211,אלא ניסיון לרצח טוהר הנשק של,ala nisiwn lrcx vwhr hneq el
212,בטוהר עט הסופרים של הכותב,bvwhr yv hswprim el hkwtb
213,הידיעה שפורסמה תחת הכותרת,hidiyh epwrsmh txt hkwtrt
214,הורים בבית הספר בנווה,hwrim bbit hspr bnwwh
215,נגד טיול לירושלים,ngd viwl lirwelim
216,טוענים,vwynim
217,הפגנה פוליטית,hpgnh pwlivit
218,הארץ,harc
219,0192,0192
220,הטרידה אותי מאוד,hvridh awti mawd
221,נילי מנדלר,nili mndlr
222,שמסרה את הידיעה מפי הורים,emsrh at hidiyh mpi hwrim
223,אין יודעים אם מדובר בהורה בודד,ain iwdyim am mdwbr bhwrh bwdd
224,או בקבוצת הורים מסוימת,aw bqbwct hwrim mswimt
225,כתבה,ktbh
226,אחד ההורים,axd hhwrim
227,שהחזיר למנהלת את הספח החוזר שבו הביע התנגדות,ehxzir lmnhlt at hspx hxwzr ebw hbiy htngdwt
228,ילדו בטיול,ildw bviwl
229,טען כי,vyn ki
230,זהו חינוך פוליטי כאשר ילדינו משמשים אמצעי חי להפגנות,zhw xinwk pwlivi kaer ildinw memeim amcyi xi lhpgnwt
231,לשם איזון הנושא,lem aizwn hnwea
232,עלי לציין כי אני נמנה על ההורים שהביעו את הסכמתם,yli lciin ki ani nmnh yl hhwrim ehbiyw at hskmtm
233,הטיול,hviwl
234,לא רק שאין זה עניין פוליטי אלא זה נושא חינוכי,la rq eain zh yniin pwlivi ala zh nwea xinwki
235,לאומי,lawmi
236,ראשונה,raewnh
237,אני גם מוכן להסתכן ולשער כי ההורה,ani gm mwkn lhstkn wleyr ki hhwrh
238,או קבוצת ההורים,aw qbwct hhwrim
239,לטיול,lviwl
240,מסתתרים תחת המעטה של טיעון פוליטי נבוב ולמעשה הם פוחדים,msttrim txt hmyvh el viywn pwlivi nbwb wlmyeh hm pwxdim
241,את ילדיהם שמא איזה ערבי ינעץ בהם סכין בגב,at ildihm ema aizh yrbi inyc bhm skin bgb
242,אני מוכן,ani mwkn
243,ורוצה,wrwch
244,את הילד שלי לירושלים עם זר פרחים ועם קופסת ממתקים,at hild eli lirwelim ym zr prxim wym qwpst mmtqim
245,כדי להביע הוקרה,kdi lhbiy hwqrh
246,לנכד של אבא קובנר,lnkd el aba qwbnr
247,שחטף סכין בראש מידי אותו מרצח שפל שדקר למוות,exvp skin brae midi awtw mrcx epl edqr lmwwt
248,יהודים בשכונת בקעה,ihwdim bekwnt bqyh
249,אני רוצה שהילד שלי יסתכל בעיניים של הילד הפגוע,ani rwch ehild eli istkl byiniim el hild hpgwy
250,לו,lw
251,אתה לא לבדך בירושלים,ath la lbdk birwelim
252,כי גם אנחנו הגרים בנווה,ki gm anxnw hgrim bnwwh
253,מונסון,mwnswn
254,בלב איתן ביחד,blb aitn bixd
255,אני מוכן להעיד כי גם אבי,ani mwkn lhyid ki gm abi
256,שלקח אותי באוטובוס,elqx awti bawvwbws
257,בשנת,bent
258,כאשר הערבים ירו על כביש באב אל,kaer hyrbim irw yl kbie bab al
259,ואד,wad
260,אמר לי,amr li
261,אלי,ali
262,אם תשמע יריות תתכופף,am temy iriwt ttkwpp
263,אבל אל תפחד,abl al tpxd
264,ולכן אני אומר לכל ילדי ישראל,wlkn ani awmr lkl ildi ieral
265,אל תפחדו,al tpxdw
266,סעו לירושלים,syw lirwelim
267,אפילו אם יורים או אם מתעופפים שם סכינים,apilw am iwrim aw am mtywppim em skinim
268,הפטיש הכבד שהנחית הפועל הערבי על ראשיהם של מעסיקו וחברו,hpvie hkbd ehnxit hpwyl hyrbi yl raeihm el mysiqw wxbrw
269,הסכין שידו של איש המרכול תקעה באחד הספקים,hskin eidw el aie hmrkwl tqyh baxd hspqim
270,ורצח המסעדן בעין כרם זה,wrcx hmsydn byin krm zh
271,מכבר על,mkbr yl
272,ידי אחד מעובדיו,idi axd mywbdiw
273,אף הוא ערבי,ap hwa yrbi
274,מעלה מנבכי הזיכרון את הפתגם,mylh mnbki hzikrwn at hptgm
275,המגדל נחש שפיפון בביתו,hmgdl nxe epipwn bbitw
276,אל יופתע אם ימצא עצמו מוכש,al iwpty am imca ycmw mwke
277,אני,ani
278,זאת בצער וברגשי אשם,zat bcyr wbrgei aem
279,פעם חשבתי אחרת,pym xebti axrt
280,על הערבים,yl hyrbim
281,לא על הנחשים,la yl hnxeim
282,שהייתי תמים,ehiiti tmim
283,מאמר המערכת שהתפרסם תחת הכותרת,mamr hmyrkt ehtprsm txt hkwtrt
284,יחדל נא,ixdl na
285,להתלבט,lhtlbv
286,הארץ,harc
287,111,111
288,תובע למצות את הדין עם,twby lmcwt at hdin ym
289,המשטרה הבכירים בגלל מחדליהם באירועי הר הבית,hmevrh hbkirim bgll mxdlihm bairwyi hr hbit
290,זהו כישלונו היחיד עד,zhw kielwnw hixid yd
291,של,el
292,שנגרם רק בגלל העובדה שהוא סמך יותר מדי על קציניו הבכירים,engrm rq bgll hywbdh ehwa smk iwtr mdi yl qciniw hbkirim
293,אם כל נושא משרה יפוטר מיד עם השגיאה הראשונה,am kl nwea merh ipwvr mid ym hegiah hraewnh
294,תסבול המדינה מסבב,tsbwl hmdinh msbb
295,פוסק של בעלי תפקידים בכירים,pwsq el byli tpqidim bkirim
296,חסרי ניסיון וחסרי ביטחון,xsri nisiwn wxsri bivxwn
297,מתקבל,mtqbl
298,שהיחידים במדינה הזו שאינם צריכים לחשוש מתוצאות מעשיהם הם הפוליטיקאים,ehixidim bmdinh hzw eainm crikim lxewe mtwcawt myeihm hm hpwliviqaim
299,אלה לא נופלים כתוצאה משגיאות או ממחדלים,alh la nwplim ktwcah megiawt aw mmxdlim
300,או אפילו מהתנהגות פסולה,aw apilw mhtnhgwt pswlh
301,אלא רק בשל משחקי כוח פוליטיים,ala rq bel mexqi kwx pwliviim
302,המלצה לפיטורי שר או נושא משרה פוליטית,hmlch lpivwri er aw nwea merh pwlivit
303,מצד בית המשפט העליון או מצד ועדת חקירה נופלת תמיד על אוזניים ערלות,mcd bit hmepv hyliwn aw mcd wydt xqirh nwplt tmid yl awzniim yrlwt
304,אבל כשאפשר להטיל את האשמה על קצין צבא או משטרה,abl keaper lhvil at haemh yl qcin cba aw mevrh
305,מוטל גורלם של אלה,mwvl gwrlm el alh
306,כף המאזניים,kp hmazniim
307,אני תמה על,ani tmh yl
308,הארץ,harc
309,שהזדרז לשחק לידיהם של הפוליטיקאים,ehzdrz lexq lidihm el hpwliviqaim
310,המעוניינים להיפטר,hmywniinim lhipvr
311,הנוכחי,hnwkxi
312,בעיתונים רבים,byitwnim rbim
313,מכתבה של מלי פיליפסבורן,mktbh el mli pilipsbwrn
314,ארגון נפגעי המשכנתאות וחסרי הדיור,argwn npgyi hmekntawt wxsri hdiwr
315,הכותרת,hkwtrt
316,אל תיגעו במשכנתא,al tigyw bmeknta
317,ברצוני להדגיש משפט אחד בדבריה,brcwni lhdgie mepv axd bdbrih
318,אנו,anw
319,נפגעי המשכנתאות,npgyi hmekntawt
320,נקלענו למצבנו הקשה לא בגלל ריבית נמוכה,nqlynw lmcbnw hqeh la bgll ribit nmwkh
321,אלא,ala
322,האינפלציה וההצמדה,hainplcih whhcmdh
323,מלים כדורבנות,mlim kdwrbnwt
324,התואמות במדויק את מה שהחתום,htwamwt bmdwiq at mh ehxtwm
325,טען במשך שנים רבות,vyn bmek enim rbwt
326,זו לא הריבית שסיבכה את מקבלי המשכנתאות או,zw la hribit esibkh at mqbli hmekntawt aw
327,הבנקים האחרים,hbnqim haxrim
328,יתר,itr
329,על,yl
330,כן,kn
331,הריבית בישראל במיוחד על משכנתאות,hribit bieral bmiwxd yl mekntawt
332,מהנמוכות ביותר בעולם,mhnmwkwt biwtr bywlm
333,אם לא הנמוכה שבהן,am la hnmwkh ebhn
334,ובאשר להצמדה,wbaer lhcmdh
335,הכתובת אינה הבנקים,hktwbt ainh hbnqim
336,ב באוקטובר הגיע אל העיר דה מוין,b bawqvwbr hgiy al hyir dh mwin
337,במערב התיכון של ארצות הברית,bmyrb htikwn el arcwt hbrit
338,גורג בוש,gwrg bwe
339,כאן הוא גם נתקל בהפגנה הראשונה נגד מלחמה במפרץ הפרסי,kan hwa gm ntql bhpgnh hraewnh ngd mlxmh bmprc hprsi
340,נשפוך דם למען נפט,nepwk dm lmyn npv
341,קראו לעברו כמה צעירים באסיפת בחירות לטובת,qraw lybrw kmh cyirim basipt bxirwt lvwbt
342,רפובליקאי,rpwbliqai
343,לא נפט,la npv
344,כעס הנשיא,kys hneia
345,מדובר פה בתוקפנות גלויה,mdwbr ph btwqpnwt glwih
346,איובה היא מקום לא,aiwbh hia mqwm la
347,שגרתי,egrti
348,אומרים עליה,awmrim ylih
349,שיש בה יותר ארגונים,eie bh iwtr argwnim
350,לקילומטר מרובע מאשר בכל מדינה אחרת של,lqilwmvr mrwby maer bkl mdinh axrt el
351,פציפיזם אינו מוגבל,pcipizm ainw mwgbl
352,לסטודנטים רדיקליים,lsvwdnvim rdiqliim
353,אפשר למצוא אותו גם בין חקלאים ופועלי חרושת,aper lmcwa awtw gm bin xqlaim wpwyli xrwet
354,היא מאסמי הדגנים של,hia masmi hdgnim el
355,ולפרנסתה היא מייצאת אותם למדינות כברית המועצות,wlprnsth hia miicat awtm lmdinwt kbrit hmwycwt
356,ב נקלעה איובה,b nqlyh aiwbh
357,יחד עם מדינות חקלאיות אחרות במערב התיכון,ixd ym mdinwt xqlaiwt axrwt bmyrb htikwn
358,קשה,qeh
359,הנשיא גימי קרטר החליט להטיל חרם דגנים על הסובייטים,hneia gimi qrvr hxliv lhvil xrm dgnim yl hswbiivim
360,בגלל,bgll
361,לאפגניסטן,lapgnisvn
362,איובה שילמה את המחיר עד אמצע שנות ה80,aiwbh eilmh at hmxir yd amcy enwt h80
363,כלכלתה היתה,klklth hith
364,במיתון קשה,bmitwn qeh
365,בשעה שרוב המדינות האחרות,beyh erwb hmdinwt haxrwt
366,נהנו משגשוג חסר תקדים,nhnw megewg xsr tqdim
367,לא רק מניעים אלטרואיסטיים מעוררים איפוא באיובה התנגדות למלחמות,la rq mniyim alvrwaisviim mywrrim aipwa baiwbh htngdwt lmlxmwt
368,גם מניעים תועלתניים,gm mniyim twyltniim
369,כאן אין אוהבים ביותר את הרעיון של מלחמה במפרץ הפרסי,kan ain awhbim biwtr at hryiwn el mlxmh bmprc hprsi
370,יום אחד בשבוע שעבר מרח העיתון המקומי,iwm axd bebwy eybr mrx hyitwn hmqwmi
371,דה מוין רגיסטר,dh mwin rgisvr
372,כותרת ענקית,kwtrt ynqit
373,מלוא העמוד הראשון של מוספו היומי,mlwa hymwd hraewn el mwspw hiwmi
374,אמרה הכותרת באנגלית,amrh hkwtrt banglit
375,עכשיו,ykeiw
376,לצד האותיות האדומות הציב העיתון את סמל תנועת ההתנגדות,lcd hawtiwt hadwmwt hcib hyitwn at sml tnwyt hhtngdwt
377,וייטנאם,wiivnam
378,ביום אחר פירסם העיתון בעמוד מאמרי המערכת שלו קריקטורה,biwm axr pirsm hyitwn bymwd mamri hmyrkt elw qriqvwrh
379,דם,dm
380,נראה בה מלאך המוות חבוש כאפייה,nrah bh mlak hmwwt xbwe kapiih
381,ומפיו בוקעות המלים,wmpiw bwqywt hmlim
382,קרא,qra
383,שפתיי,eptii
384,גורג לא תהיה עוד וייטנאם,gwrg la thih ywd wiivnam
385,גורג,gwrg
386,הוא כמובן גורג בוש,hwa kmwbn gwrg bwe
387,קרא את שפתיי,qra at eptii
388,היא פאראפראזה על סיסמת הבחירות הכוזבת,hia paraprazh yl sismt hbxirwt hkwzbt
389,הנשיא מ8891,hneia m8891
390,קראו את שפתיי לא יהיו מסים חדשים,qraw at eptii la ihiw msim xdeim
391,במהלך נשף,bmhlk nep
392,לטום הארקין,lvwm harqin
393,הסנאטור הדמוקרטי שהעמיד את עצמו השבוע לבחירה חוזרת,hsnavwr hdmwqrvi ehymid at ycmw hebwy lbxirh xwzrt
394,לי באריכות אחד הנוכחים כיצד יכולה,li barikwt axd hnwkxim kicd ikwlh
395,ליישב את סכסוך המפרץ הפרסי,liieb at skswk hmprc hprsi
396,אם רק תביא את העניין לפני בית המשפט הבין,am rq tbia at hyniin lpni bit hmepv hbin
397,לאומי,lawmi
398,בהאג,bhag
399,בבן שיחי בהפתעה ניכרת,bbn eixi bhptyh nikrt
400,טיעונים כאלה,viywnim kalh
401,שפעם היו מקובלים בין,epym hiw mqwblim bin
402,לא שמעתי כבר הרבה זמן,la emyti kbr hrbh zmn
403,במעמקי המערב התיכון של,bmymqi hmyrb htikwn el
404,קל,ql
405,שהעולם נברא בצלם אמריקה,ehywlm nbra bclm amriqh
406,שהוא מלא אנשים הגיוניים ופרגמטיים,ehwa mla aneim hgiwniim wprgmviim
407,המוסרית של מוסד שאיש,hmwsrit el mwsd eaie
408,כולל,kwll
409,מעולם לא לקח ברצינות תעשה,mywlm la lqx brcinwt tyeh
410,מיידי על סדאם חוסיין,miidi yl sdam xwsiin
