id,hebrew,transliterated
144,להגדיל,lhgdil
145,משמעותי,memywti
146,הקנסות,hqnswt
147,למעסיקים,lmysiqim
148,אלי,ali
149,דיין,diin
150,מערך,myrk
151,הצעת,hcyt
152,חוק,xwq
153,שלפיה,elpih
154,יוטל,iwvl
155,על,yl
156,מעסיקי,mysiqi
157,עובדים,ywbdim
158,זרים,zrim
159,כדי,kdi
160,למנוע,lmnwy
161,העדפתם,hydptm
162,עובדים,ywbdim
163,ישראליים,ieraliim
164,חברות,xbrwt
165,המעסיקות,hmysiqwt
166,עובדים,ywbdim
167,זרים,zrim
168,זוכות,zwkwt
169,במכרזים,bmkrzim
170,היות,hiwt
171,מציעות,mciywt
172,שירותים,eirwtim
173,זולים,zwlim
174,יותר,iwtr
175,רן,rn
176,רץ,rc
177,כי,ki
178,על,yl
179,הוועדה,hwwydh
180,לממשלה,lmmelh
181,בדרישה,bdrieh
182,לחסל,lxsl
183,את,at
184,העובדים,hywbdim
185,הזרים,hzrim
186,לאלתר,laltr
187,על,yl
188,רקע,rqy
189,היצע,hicy
190,המוכנים,hmwknim
191,לעבוד,lybwd
192,בכל,bkl
193,עבודה,ybwdh
194,המינימום,hminimwm
195,לדבריו,ldbriw
196,יש,ie
197,לפנות,lpnwt
198,למשרד,lmerd
199,והרווחה,whrwwxh
200,בדרישה,bdrieh
201,לבטל,lbvl
202,בתוך,btwk
203,חודש,xwde
204,את,at
205,עבודת,ybwdt
206,העובדים,hywbdim
207,הזרים,hzrim
208,המועסקים,hmwysqim
209,כיום,kiwm
210,הכותרת,hkwtrt
211,מתנדבים,mtndbim
212,יאיר,iair
213,מפם,mpm
214,פרשת,pret
215,היא,hia
216,כתם,ktm
217,חרפה,xrph
218,על,yl
219,פרצופנו,prcwpnw
220,הלאומי,hlawmi
221,המוח,hmwx
222,מתפלץ,mtplc
223,לא,la
224,רק,rq
225,מהתופעה,mhtwpyh
226,גם,gm
227,ההערמה,hhyrmh
228,הראש,hrae
229,היהודי,hihwdi
230,ממציא,mmcia
231,לנו,lnw
232,פטנטים,pvnvim
233,מתנדבים,mtndbim
234,מחפיר,mxpir
235,הוא,hwa
236,קרא,qra
237,להפסקת,lhpsqt
238,התופעה,htwpyh
239,ולמתן,wlmtn
240,לתאילנדים,ltailndim
241,שישלימו,eielimw
242,שכר,ekr
243,המינימום,hminimwm
244,דוברת,dwbrt
245,שירות,eirwt
246,התעסוקה,htyswqh
247,אתמול,atmwl
248,בתגובה,btgwbh
249,פועל,pwyl
250,לצמצום,lcmcwm
251,מספרם,msprm
252,של,el
253,העובדים,hywbdim
254,הזרים,hzrim
255,ולהכנסת,wlhknst
256,עולים,ywlim
257,חדשים,xdeim
258,במקומם,bmqwmm
259,לאחר,laxr
260,פעילות,pyilwt
261,נמרצת,nmrct
262,בשבועות,bebwywt
263,צומצם,cwmcm
264,מספר,mspr
265,העובדים,hywbdim
266,הזרים,hzrim
267,האחיות,haxiwt
268,עד,yd
269,סוף,swp
270,השנה,henh
271,לא,la
272,תועסק,twysq
273,בארץ,barc
274,אף,ap
275,אחות,axwt
276,כעובדת,kywbdt
277,זרה,zrh
278,כי,ki
279,השירות,heirwt
280,לחקלאים,lxqlaim
281,לדאוג,ldawg
282,לעובדים,lywbdim
283,ישראליים,ieraliim
284,במקום,bmqwm
285,לתאילנדים,ltailndim
286,השירות,heirwt
287,לא,la
288,את,at
289,המדיניות,hmdiniwt
290,בנושא,bnwea
291,העסקת,hysqt
292,תאילנדים,tailndim
293,בחקלאות,bxqlawt
294,אלא,ala
295,להיפך,lhipk
296,הבהיר,hbhir
297,לתנועת,ltnwyt
298,המושבים,hmwebim
299,שכל,ekl
300,עובד,ywbd
301,ישראלי,ierali
302,שיסכים,eiskim
303,לעבוד,lybwd
304,בענף,bynp
305,החקלאות,hxqlawt
306,לאלתר,laltr
307,מבקשת,mbqet
308,לשגר,legr
309,לישראל,lieral
310,מרגלים,mrglim
311,לצורך,lcwrk
312,אחר,axr
313,נבחרת,nbxrt
314,הנוער,hnwyr
315,ישראל,ieral
316,יתמודדו,itmwddw
317,עם,ym
318,ניו,niw
319,זילנד,zilnd
320,בטורניר,bvwrnir
321,הקדם,hqdm
322,עולמי,ywlmi
323,לנוער,lnwyr
324,בפברואר,bpbrwar
325,מארס,mars
326,1991,1991
327,אתמול,atmwl
328,ביקשה,biqeh
329,אוסטרליה,awsvrlih
330,באורח,bawrx
331,מידע,midy
332,על,yl
333,של,el
334,הנבחרת,hnbxrt
335,בתקופה,btqwph
336,הקרובה,hqrwbh
337,מאמן,mamn
338,הנבחרת,hnbxrt
339,נוער,nwyr
340,אא,aa
341,אמנון,amnwn
342,הגיב,hgib
343,אתמול,atmwl
344,אין,ain
345,לי,li
346,להשיב,lheib
347,להם,lhm
348,כי,ki
349,כרגע,krgy
350,לנו,lnw
351,אימון,aimwn
352,הבעיה,hbyih
353,העיקרית,hyiqrit
354,מבחינתה,mbxinth
355,של,el
356,ישראל,ieral
357,היא,hia
358,אי,ai
359,הבהירות,hbhirwt
360,הטורניר,hvwrnir
361,עולמי,ywlmi
362,ישראל,ieral
363,היתה,hith
364,אמורה,amwrh
365,לארח,larx
366,את,at
367,הטורניר,hvwrnir
368,אך,ak
369,בגלל,bgll
370,המשבר,hmebr
371,במפרץ,bmprc
372,רק,rq
373,בדצמבר,bdcmbr
374,היכן,hikn
375,יהיו,ihiw
376,המשחקים,hmexqim
377,המאמן,hmamn
378,רז,rz
379,אמר,amr
380,כי,ki
381,משחקי,mexqi
382,המיבחן,hmibxn
383,תיעשה,tiyeh
384,רק,rq
385,לאחר,laxr
386,שיתברר,eitbrr
387,אם,am
388,הטורניר,hvwrnir
389,יהיה,ihih
390,בישראל,bieral
391,רז,rz
392,ביקש,biqe
393,שנבחרת,enbxrt
394,הנוער,hnwyr
395,עם,ym
396,האולימפיים,hawlimpiim
397,של,el
398,פולין,pwlin
399,אך,ak
400,המשחק,hmexq
401,לא,la
402,לפועל,lpwyl
403,בגלל,bgll
404,חוסר,xwsr
405,תיאום,tiawm
406,לגבי,lgbi
407,המועד,hmwyd
408,התבטלה,htbvlh
409,גם,gm
410,תכניתו,tknitw
411,של,el
412,רז,rz
413,לטורקיה,lvwrqih
414,כדי,kdi
415,אחרי,axri
416,נבחרת,nbxrt
417,הנוער,hnwyr
418,בב,bb
419,של,el
420,ארץ,arc
421,זו,zw
422,הטורקים,hvwrqim
423,את,at
424,ישראל,ieral
425,ב18,b18
426,בנובמבר,bnwbmbr
427,קדם,qdm
428,אליפות,alipwt
429,אירופה,airwph
430,ישראל,ieral
431,צועדת,cwydt
432,בראש,brae
433,לאחר,laxr
434,ניצחונה,nicxwnh
435,על,yl
436,שוייץ,ewiic
437,בבית,bbit
438,זה,zh
439,משובצת,mewbct
440,גם,gm
441,רז,rz
442,היה,hih
443,אמור,amwr
444,במשחק,bmexq
445,אימון,aimwn
446,בין,bin
447,טורקיה,vwrqih
448,ופולין,wpwlin
449,באמצע,bamcy
450,השבוע,hebwy
451,ולהמתין,wlhmtin
452,לנבחרת,lnbxrt
453,לאיסטנבול,laisvnbwl
454,בעוד,bywd
455,שבוע,ebwy
456,אך,ak
457,התברר,htbrr
458,כי,ki
459,נערי,nyri
460,פולין,pwlin
461,לא,la
462,יגיעו,igiyw
463,לטורקיה,lvwrqih
464,של,el
465,הקרב,hqrb
466,על,yl
467,סן,sn
468,סימון,simwn
469,היה,hih
470,או,aw
471,לא,la
472,הארץ,harc
473,105,105
474,הגיע,hgiy
475,לידי,lidi
476,רק,rq
477,בימים,bimim
478,למרות,lmrwt
479,שחלפו,exlpw
480,מאז,maz
481,24,24
482,שאירועי,eairwyi
483,ימים,imim
484,אלה,alh
485,אולי,awli
486,מאפילים,mapilim
487,כל,kl
488,דבר,dbr
489,אחר,axr
490,אני,ani
491,מרגיש,mrgie
492,חובה,xwbh
493,בשמם,bemm
494,הפצועים,hpcwyim
495,הקרב,hqrb
496,הזה,hzh
497,שהיה,ehih
498,שם,em
499,להתייחס,lhtiixs
500,קטעי,qvyi
501,המאמר,hmamr
502,בקרב,bqrb
503,עצמו,ycmw
504,אליהם,alihm
505,אתייחס,atiixs
506,מאופיינים,mawpiinim
507,היגיון,higiwn
508,ובסילוף,wbsilwp
509,עובדות,ywbdwt
510,ומעידים,wmyidim
511,על,yl
512,הכותב,hkwtb
513,כי,ki
514,הוא,hwa
515,הבנה,hbnh
516,טקטית,vqvit
517,וניסיון,wnisiwn
518,וכעת,wkyt
519,המצוטטות,hmcwvvwt
520,כותרת,kwtrt
521,סן,sn
522,סימון,simwn
523,היה,hih
524,לא,la
525,היה,hih
526,ייתכן,iitkn
527,שבמנזר,ebmnzr
528,כלל,kll
529,התנהל,htnhl
530,קרב,qrb
531,לכל,lkl
532,אלה,alh
533,המתרשמים,hmtremim
534,ומסתפקים,wmstpqim
535,הכותרת,hkwtrt
536,בלבד,blbd
537,אני,ani
538,יכול,ikwl
539,להבטיח,lhbvix
540,התנהל,htnhl
541,שם,em
542,והוא,whwa
543,היה,hih
544,אחד,axd
545,הקשים,hqeim
546,והמפוארים,whmpwarim
547,בכל,bkl
548,קרבות,qrbwt
549,ועל,wyl
550,תעיד,tyid
551,ההיסטוריה,hhisvwrih
552,ויעידו,wiyidw
553,עשרות,yerwt
554,הלוחמים,hlwxmim
555,שנשארו,enearw
556,בחיים,bxiim
557,והצליחו,whclixw
558,את,at
559,על,yl
560,אף,ap
561,הכבדות,hkbdwt
562,במלחמת,bmlxmt
563,בקרב,bqrb
564,ירושלים,irwelim
565,נשארה,nearh
566,קטמון,qvmwn
567,בלב,blb
568,ירושלים,irwelim
569,המערבית,hmyrbit
570,ושימשה,weimeh
571,כמרכז,kmrkz
572,כוח,kwx
573,ערבי,yrbi
574,רב,rb
575,ומאורגן,wmawrgn
576,של,el
577,קטמון,qvmwn
578,לשליטה,lelivh
579,באזור,bazwr
580,מסוים,mswim
581,או,aw
582,לניצחון,lnicxwn
583,בקרב,bqrb
584,היה,hih
585,מנזר,mnzr
586,סן,sn
587,סימון,simwn
588,היה,hih
589,עליו,yliw
590,כתוב,ktwb
591,עשה,yeh
592,מלחמה,mlxmh
593,אכן,akn
594,כך,kk
595,עשתה,yeth
596,חטיבת,xvibt
597,הראל,hral
598,היא,hia
599,כבשה,kbeh
600,המנזר,hmnzr
601,התנגדות,htngdwt
602,האויב,hawib
603,לאחר,laxr
604,מכן,mkn
605,בקרב,bqrb
606,מגננה,mgnnh
607,בתוך,btwk
608,המנזר,hmnzr
609,קרב,qrb
610,מגננה,mgnnh
611,לשבירת,lebirt
612,חזקים,xzqim
613,האויב,hawib
614,אמנם,amnm
615,נשבר,nebr
616,קרב,qrb
617,המגננה,hmgnnh
618,הפך,hpk
619,וירושלים,wirwelim
620,המערבית,hmyrbit
621,אוחדה,awxdh
622,המאמר,hmamr
623,המצטט,hmcvv
624,של,el
625,אורי,awri
626,מילשטיין,mileviin
627,מלכתחילה,mlktxilh
628,לא,la
629,היה,hih
630,המנזר,hmnzr
631,מצביע,mcbiy
632,על,yl
633,חוסר,xwsr
634,אסטרטגית,asvrvgit
635,וטקטית,wvqvit
636,בסוגיה,bswgih
637,זו,zw
638,הקרב,hqrb
639,כתוצאה,ktwcah
640,מהקרב,mhqrb
641,על,yl
642,סן,sn
643,סימון,simwn
644,איננה,ainnh
645,מיתוס,mitws
646,היא,hia
647,מבוססת,mbwsst
648,על,yl
649,אותו,awtw
650,קרב,qrb
651,שבו,ebw
652,אירעו,airyw
653,מעשי,myei
654,עילאיים,yilaiim
655,ועל,wyl
656,קבלת,qblt
657,קשות,qewt
658,בתנאי,btnai
659,קרב,qrb
660,חוסר,xwsr
661,ניסיון,nisiwn
662,באים,baim
663,לביטוי,lbivwi
664,בקטע,bqvy
665,המאמר,hmamr
666,רצח,rcx
667,כל,kl
668,ישראלי,ierali
669,המנוסה,hmnwsh
670,לילה,lilh
671,בשטח,bevx
672,בנוי,bnwi
673,כמנזר,kmnzr
674,סן,sn
675,כי,ki
676,תוך,twk
677,פריצה,prich
678,בחשכה,bxekh
679,יורים,iwrim
680,בכל,bkl
681,דבר,dbr
682,שנע,eny
683,ממולך,mmwlk
684,קרה,qrh
685,בפריצה,bprich
686,למנזר,lmnzr
687,החשוך,hxewk
688,לחלוטין,lxlwvin
689,נהרגו,nhrgw
690,נזירות,nzirwt
691,נשים,neim
692,ערביות,yrbiwt
693,במנזר,bmnzr
694,חבל,xbl
695,איש,aie
696,התכוון,htkwwn
697,ציטוט,civwv
698,מהמאמר,mhmamr
699,בעת,byt
700,שנורתה,enwrth
701,הנזירה,hnzirh
702,בפצועים,bpcwyim
703,פצועים,pcwyim
704,הרי,hri
705,כותב,kwtb
706,קובע,qwby
707,לכן,lkn
708,כי,ki
709,ריק,riq
710,ממגינים,mmginim
711,הייתי,hiiti
712,שם,em
713,תיאור,tiawr
714,הגווייה,hgwwiih
715,היה,hih
716,מראה,mrah
717,איום,aiwm
718,של,el
719,ובשר,wber
720,ואיברי,waibri
721,מין,min
722,הוא,hwa
723,שקר,eqr
724,וכזב,wkzb
725,לא,la
726,היה,hih
727,כאן,kan
728,אלא,ala
729,ניסיון,nisiwn
730,לרצח,lrcx
731,טוהר,vwhr
732,של,el
733,בטוהר,bvwhr
734,עט,yv
735,הסופרים,hswprim
736,של,el
737,הידיעה,hidiyh
738,תחת,txt
739,הכותרת,hkwtrt
740,הספר,hspr
741,בנווה,bnwwh
742,לירושלים,lirwelim
743,0192,0192
744,אותי,awti
745,מאוד,mawd
746,נילי,nili
747,מנדלר,mndlr
748,שמסרה,emsrh
749,את,at
750,מפי,mpi
751,הורים,hwrim
752,אין,ain
753,יודעים,iwdyim
754,בהורה,bhwrh
755,בודד,bwdd
756,או,aw
757,הורים,hwrim
758,מסוימת,mswimt
759,כתבה,ktbh
760,אחד,axd
761,ההורים,hhwrim
762,שהחזיר,ehxzir
763,למנהלת,lmnhlt
764,את,at
765,הספח,hspx
766,החוזר,hxwzr
767,הביע,hbiy
768,התנגדות,htngdwt
769,טען,vyn
770,כי,ki
771,זהו,zhw
772,חינוך,xinwk
773,פוליטי,pwlivi
774,כאשר,kaer
775,ילדינו,ildinw
776,אמצעי,amcyi
777,חי,xi
778,לשם,lem
779,איזון,aizwn
780,הנושא,hnwea
781,עלי,yli
782,לציין,lciin
783,כי,ki
784,אני,ani
785,נמנה,nmnh
786,על,yl
787,ההורים,hhwrim
788,את,at
789,הסכמתם,hskmtm
790,הטיול,hviwl
791,רק,rq
792,שאין,eain
793,זה,zh
794,עניין,yniin
795,פוליטי,pwlivi
796,אלא,ala
797,זה,zh
798,נושא,nwea
799,חינוכי,xinwki
800,ראשונה,raewnh
801,אני,ani
802,גם,gm
803,להסתכן,lhstkn
804,ולשער,wleyr
805,כי,ki
806,ההורה,hhwrh
807,או,aw
808,קבוצת,qbwct
809,לטיול,lviwl
810,מסתתרים,msttrim
811,תחת,txt
812,המעטה,hmyvh
813,של,el
814,טיעון,viywn
815,פוליטי,pwlivi
816,נבוב,nbwb
817,ולמעשה,wlmyeh
818,הם,hm
819,את,at
820,שמא,ema
821,ערבי,yrbi
822,ינעץ,inyc
823,סכין,skin
824,בגב,bgb
825,אני,ani
826,מוכן,mwkn
827,ורוצה,wrwch
828,את,at
829,הילד,hild
830,שלי,eli
831,לירושלים,lirwelim
832,זר,zr
833,פרחים,prxim
834,ועם,wym
835,קופסת,qwpst
836,ממתקים,mmtqim
837,כדי,kdi
838,להביע,lhbiy
839,הוקרה,hwqrh
840,לנכד,lnkd
841,של,el
842,אבא,aba
843,קובנר,qwbnr
844,שחטף,exvp
845,סכין,skin
846,בראש,brae
847,מידי,midi
848,אותו,awtw
849,שפל,epl
850,שדקר,edqr
851,למוות,lmwwt
852,יהודים,ihwdim
853,בשכונת,bekwnt
854,בקעה,bqyh
855,אני,ani
856,רוצה,rwch
857,שהילד,ehild
858,שלי,eli
859,יסתכל,istkl
860,בעיניים,byiniim
861,הילד,hild
862,הפגוע,hpgwy
863,לו,lw
864,לא,la
865,לבדך,lbdk
866,בירושלים,birwelim
867,כי,ki
868,אנחנו,anxnw
869,הגרים,hgrim
870,בנווה,bnwwh
871,בלב,blb
872,איתן,aitn
873,ביחד,bixd
874,מוכן,mwkn
875,להעיד,lhyid
876,כי,ki
877,גם,gm
878,אבי,abi
879,אותי,awti
880,באוטובוס,bawvwbws
881,ירו,irw
882,על,yl
883,באב,bab
884,ואד,wad
885,אמר,amr
886,לי,li
887,תשמע,temy
888,יריות,iriwt
889,תתכופף,ttkwpp
890,אבל,abl
891,אל,al
892,ולכן,wlkn
893,אני,ani
894,לכל,lkl
895,ילדי,ildi
896,ישראל,ieral
897,תפחדו,tpxdw
898,סעו,syw
899,לירושלים,lirwelim
900,אפילו,apilw
901,אם,am
902,יורים,iwrim
903,אם,am
904,מתעופפים,mtywppim
905,סכינים,skinim
906,הכבד,hkbd
907,שהנחית,ehnxit
908,הפועל,hpwyl
909,הערבי,hyrbi
910,על,yl
911,ראשיהם,raeihm
912,של,el
913,מעסיקו,mysiqw
914,וחברו,wxbrw
915,הסכין,hskin
916,שידו,eidw
917,של,el
918,איש,aie
919,המרכול,hmrkwl
920,תקעה,tqyh
921,הספקים,hspqim
922,ורצח,wrcx
923,המסעדן,hmsydn
924,בעין,byin
925,כרם,krm
926,זה,zh
927,על,yl
928,ידי,idi
929,אחד,axd
930,מעובדיו,mywbdiw
931,אף,ap
932,הוא,hwa
933,ערבי,yrbi
934,מעלה,mylh
935,מנבכי,mnbki
936,הזיכרון,hzikrwn
937,הפתגם,hptgm
938,המגדל,hmgdl
939,בביתו,bbitw
940,אל,al
941,יופתע,iwpty
942,אם,am
943,ימצא,imca
944,מוכש,mwke
945,אני,ani
946,זאת,zat
947,אשם,aem
948,פעם,pym
949,אחרת,axrt
950,הערבים,hyrbim
951,לא,la
952,הנחשים,hnxeim
953,תמים,tmim
954,מאמר,mamr
955,המערכת,hmyrkt
956,שהתפרסם,ehtprsm
957,הכותרת,hkwtrt
958,יחדל,ixdl
959,נא,na
960,להתלבט,lhtlbv
961,הארץ,harc
962,את,at
963,המשטרה,hmevrh
964,הבכירים,hbkirim
965,בגלל,bgll
966,מחדליהם,mxdlihm
967,באירועי,bairwyi
968,הבית,hbit
969,זהו,zhw
970,כישלונו,kielwnw
971,היחיד,hixid
972,עד,yd
973,שנגרם,engrm
974,רק,rq
975,בגלל,bgll
976,העובדה,hywbdh
977,שהוא,ehwa
978,סמך,smk
979,יותר,iwtr
980,מדי,mdi
981,על,yl
982,אם,am
983,כל,kl
984,נושא,nwea
985,משרה,merh
986,מיד,mid
987,עם,ym
988,השגיאה,hegiah
989,הראשונה,hraewnh
990,תסבול,tsbwl
991,המדינה,hmdinh
992,מסבב,msbb
993,פוסק,pwsq
994,של,el
995,תפקידים,tpqidim
996,בכירים,bkirim
997,חסרי,xsri
998,וחסרי,wxsri
999,ביטחון,bivxwn
1000,מתקבל,mtqbl
1001,במדינה,bmdinh
1002,הזו,hzw
1003,שאינם,eainm
1004,צריכים,crikim
1005,לחשוש,lxewe
1006,מתוצאות,mtwcawt
1007,מעשיהם,myeihm
1008,הם,hm
1009,הפוליטיקאים,hpwliviqaim
1010,לא,la
1011,נופלים,nwplim
1012,כתוצאה,ktwcah
1013,משגיאות,megiawt
1014,ממחדלים,mmxdlim
1015,או,aw
1016,אפילו,apilw
1017,מהתנהגות,mhtnhgwt
1018,פסולה,pswlh
1019,רק,rq
1020,בשל,bel
1021,משחקי,mexqi
1022,כוח,kwx
1023,פוליטיים,pwliviim
1024,המלצה,hmlch
1025,שר,er
1026,או,aw
1027,נושא,nwea
1028,משרה,merh
1029,פוליטית,pwlivit
1030,בית,bit
1031,המשפט,hmepv
1032,העליון,hyliwn
1033,או,aw
1034,מצד,mcd
1035,ועדת,wydt
1036,חקירה,xqirh
1037,נופלת,nwplt
1038,תמיד,tmid
1039,על,yl
1040,אוזניים,awzniim
1041,ערלות,yrlwt
1042,אבל,abl
1043,כשאפשר,keaper
1044,להטיל,lhvil
1045,את,at
1046,האשמה,haemh
1047,קצין,qcin
1048,צבא,cba
1049,או,aw
1050,משטרה,mevrh
1051,מוטל,mwvl
1052,גורלם,gwrlm
1053,של,el
1054,אלה,alh
1055,המאזניים,hmazniim
1056,אני,ani
1057,תמה,tmh
1058,על,yl
1059,הארץ,harc
1060,שהזדרז,ehzdrz
1061,לשחק,lexq
1062,לידיהם,lidihm
1063,הפוליטיקאים,hpwliviqaim
1064,להיפטר,lhipvr
1065,הנוכחי,hnwkxi
1066,בעיתונים,byitwnim
1067,רבים,rbim
1068,מכתבה,mktbh
1069,מלי,mli
1070,פיליפסבורן,pilipsbwrn
1071,ארגון,argwn
1072,וחסרי,wxsri
1073,הדיור,hdiwr
1074,במשכנתא,bmeknta
1075,ברצוני,brcwni
1076,להדגיש,lhdgie
1077,בדבריה,bdbrih
1078,נפגעי,npgyi
1079,המשכנתאות,hmekntawt
1080,נקלענו,nqlynw
1081,למצבנו,lmcbnw
1082,הקשה,hqeh
1083,לא,la
1084,בגלל,bgll
1085,ריבית,ribit
1086,נמוכה,nmwkh
1087,אלא,ala
1088,האינפלציה,hainplcih
1089,וההצמדה,whhcmdh
1090,מלים,mlim
1091,כדורבנות,kdwrbnwt
1092,התואמות,htwamwt
1093,במדויק,bmdwiq
1094,שהחתום,ehxtwm
1095,טען,vyn
1096,במשך,bmek
1097,שנים,enim
1098,רבות,rbwt
1099,זו,zw
1100,לא,la
1101,הריבית,hribit
1102,שסיבכה,esibkh
1103,מקבלי,mqbli
1104,המשכנתאות,hmekntawt
1105,או,aw
1106,הבנקים,hbnqim
1107,האחרים,haxrim
1108,יתר,itr
1109,על,yl
1110,כן,kn
1111,הריבית,hribit
1112,במיוחד,bmiwxd
1113,משכנתאות,mekntawt
1114,מהנמוכות,mhnmwkwt
1115,ביותר,biwtr
1116,בעולם,bywlm
1117,אם,am
1118,לא,la
1119,הנמוכה,hnmwkh
1120,שבהן,ebhn
1121,ובאשר,wbaer
1122,להצמדה,lhcmdh
1123,אינה,ainh
1124,הבנקים,hbnqim
1125,ב16,b16
1126,הגיע,hgiy
1127,אל,al
1128,העיר,hyir
1129,דה,dh
1130,מוין,mwin
1131,במערב,bmyrb
1132,התיכון,htikwn
1133,של,el
1134,ארצות,arcwt
1135,הברית,hbrit
1136,גורג,gwrg
1137,כאן,kan
1138,הוא,hwa
1139,גם,gm
1140,נתקל,ntql
1141,בהפגנה,bhpgnh
1142,הראשונה,hraewnh
1143,נגד,ngd
1144,מלחמה,mlxmh
1145,במפרץ,bmprc
1146,הפרסי,hprsi
1147,נשפוך,nepwk
1148,דם,dm
1149,למען,lmyn
1150,נפט,npv
1151,קראו,qraw
1152,לעברו,lybrw
1153,באסיפת,basipt
1154,בחירות,bxirwt
1155,לטובת,lvwbt
1156,לא,la
1157,נפט,npv
1158,הנשיא,hneia
1159,פה,ph
1160,בתוקפנות,btwqpnwt
1161,איובה,aiwbh
1162,היא,hia
1163,מקום,mqwm
1164,לא,la
1165,אומרים,awmrim
1166,בה,bh
1167,יותר,iwtr
1168,ארגונים,argwnim
1169,לקילומטר,lqilwmvr
1170,מרובע,mrwby
1171,מאשר,maer
1172,בכל,bkl
1173,של,el
1174,פציפיזם,pcipizm
1175,אינו,ainw
1176,מוגבל,mwgbl
1177,לסטודנטים,lsvwdnvim
1178,אפשר,aper
1179,למצוא,lmcwa
1180,אותו,awtw
1181,גם,gm
1182,בין,bin
1183,חקלאים,xqlaim
1184,ופועלי,wpwyli
1185,מאסמי,masmi
1186,הדגנים,hdgnim
1187,של,el
1188,ולפרנסתה,wlprnsth
1189,היא,hia
1190,למדינות,lmdinwt
1191,כברית,kbrit
1192,המועצות,hmwycwt
1193,ב0891,b0891
1194,איובה,aiwbh
1195,יחד,ixd
1196,עם,ym
1197,מדינות,mdinwt
1198,חקלאיות,xqlaiwt
1199,אחרות,axrwt
1200,התיכון,htikwn
1201,קשה,qeh
1202,גימי,gimi
1203,קרטר,qrvr
1204,החליט,hxliv
1205,להטיל,lhvil
1206,חרם,xrm
1207,דגנים,dgnim
1208,על,yl
1209,הסובייטים,hswbiivim
1210,לאפגניסטן,lapgnisvn
1211,איובה,aiwbh
1212,את,at
1213,המחיר,hmxir
1214,עד,yd
1215,אמצע,amcy
1216,שנות,enwt
1217,ה80,h80
1218,כלכלתה,klklth
